ESTACION;MAGNITUD;ANO;MES;DIA;VALOR;FECHA
4;6;2018-;9;-09;0,4;2018-09-09
4;6;2018-;9;-10;0,3;2018-09-10
4;6;2018-;9;-11;0,4;2018-09-11
4;6;2018-;9;-12;0,4;2018-09-12
4;6;2018-;9;-13;0,5;2018-09-13
4;6;2018-;9;-14;0,4;2018-09-14
4;6;2018-;9;-15;0,3;2018-09-15
4;6;2018-;9;-16;0,3;2018-09-16
4;6;2018-;9;-17;0,3;2018-09-17
4;6;2018-;9;-18;0,4;2018-09-18
4;6;2018-;9;-19;0,4;2018-09-19
4;6;2018-;9;-20;0,5;2018-09-20
4;6;2018-;9;-21;0,5;2018-09-21
4;6;2018-;9;-22;0,4;2018-09-22
4;6;2018-;9;-23;0,4;2018-09-23
4;6;2018-;9;-24;0,3;2018-09-24
4;6;2018-;9;-25;0,4;2018-09-25
4;6;2018-;9;-26;0,3;2018-09-26
4;6;2018-;9;-27;0,4;2018-09-27
4;6;2018-;9;-28;0,6;2018-09-28
4;6;2018-;9;-29;0,5;2018-09-29
4;6;2018-;9;-30;0,4;2018-09-30
4;6;2018-;10;-01;0,3;2018-10-01
4;6;2018-;10;-02;0,4;2018-10-02
4;6;2018-;10;-03;0,5;2018-10-03
4;6;2018-;10;-04;0,6;2018-10-04
4;6;2018-;10;-05;0,6;2018-10-05
4;6;2018-;10;-06;0,4;2018-10-06
4;6;2018-;10;-07;0,3;2018-10-07
4;6;2018-;10;-08;0,3;2018-10-08
4;6;2018-;10;-09;0,3;2018-10-09
4;6;2018-;10;-10;0,4;2018-10-10
4;6;2018-;10;-11;0,4;2018-10-11
4;6;2018-;10;-12;0,1;2018-10-12
4;6;2018-;10;-13;0,1;2018-10-13
4;6;2018-;10;-14;0,3;2018-10-14
4;6;2018-;10;-15;0,3;2018-10-15
4;6;2018-;10;-16;0,4;2018-10-16
4;6;2018-;10;-17;0,5;2018-10-17
4;6;2018-;10;-18;0,4;2018-10-18
4;6;2018-;10;-19;0,3;2018-10-19
4;6;2018-;10;-20;0,3;2018-10-20
4;6;2018-;10;-21;0,3;2018-10-21
4;6;2018-;10;-22;0,5;2018-10-22
4;6;2018-;10;-23;0,4;2018-10-23
4;6;2018-;10;-24;0,7;2018-10-24
4;6;2018-;10;-25;0,6;2018-10-25
4;6;2018-;10;-26;0,6;2018-10-26
4;6;2018-;10;-27;0,4;2018-10-27
4;6;2018-;10;-28;0,3;2018-10-28
4;6;2018-;10;-29;0,3;2018-10-29
4;6;2018-;10;-30;0,4;2018-10-30
4;6;2018-;10;-31;0,4;2018-10-31
4;6;2018-;11;-01;0,5;2018-11-01
4;6;2018-;11;-02;0,4;2018-11-02
4;6;2018-;11;-03;0,5;2018-11-03
4;6;2018-;11;-04;0,4;2018-11-04
4;6;2018-;11;-05;0,3;2018-11-05
4;6;2018-;11;-06;0,3;2018-11-06
4;6;2018-;11;-07;0,4;2018-11-07
4;6;2018-;11;-08;0,5;2018-11-08
4;6;2018-;11;-09;0,3;2018-11-09
4;6;2018-;11;-10;0,3;2018-11-10
4;6;2018-;11;-11;0,3;2018-11-11
4;6;2018-;11;-12;0,5;2018-11-12
4;6;2018-;11;-13;0,6;2018-11-13
4;6;2018-;11;-14;0,5;2018-11-14
4;6;2018-;11;-15;0,5;2018-11-15
4;6;2018-;11;-16;0,5;2018-11-16
4;6;2018-;11;-17;0,4;2018-11-17
4;6;2018-;11;-18;0,4;2018-11-18
